title,date,summary,operator,passengers,crew,fatalities,survivors
1919 Verona Caproni Ca.48 crash,"August&#160;2,&#160;1919",Possible structural failure,Caproni,12,2,14,0
1920 Golders Green Handley Page O/400 crash,"December&#160;14,&#160;1920","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">CFIT</a> for reasons unknown",Handley Page Transport,6,2,4,4
1922 Picardie mid-air collision,7 April 1922,Mid-air collision in fog,Daimler Hire Limited (page does not exist),3,2,5,0
May 1923 Air Union Farman Goliath crash,14&#160;May&#160;1923,Structural failure,Air Union,4,2,6,0
August 1923 Air Union Farman Goliath crash,27&#160;August&#160;1923,"Engine failure, passenger error, loss of control",Air Union,11,2,1,12
1923 Daimler Airway de Havilland DH.34 crash,14&#160;September&#160;1923,"Pilot error, stall",Daimler Airway,3,2,5,0
1924 Imperial Airways de Havilland DH.34 crash,24 December 1924,Undetermined,Imperial Airways,7,1,8,0
August 1926 Air Union Blériot 155 crash,18 August 1926,Crashed on landing,Air Union,13,2,3,12
October 1926 Air Union Blériot 155 crash,2 October 1926,In-flight fire,Air Union,5,2,7,0
1927 KLM Fokker F.VIII crash,22 August 1927,Structural failure of tailfin,KLM,9,2,1,10
1929 Imperial Airways Handley Page W.10 crash,17 June 1929,"Engine failure, ditching at sea",Imperial Airways,11,2,7,6
1930 Air Union Farman Goliath crash,10 February 1930,Loss of control following structural failure of tailplane.,Air Union,3,3,2,4
1931 Avro Ten <i>Southern Cloud</i> disappearance,21 March 1931,Severe weather,Australian National Airways (1930),6,2,8,0
City of Liverpool,28 March 1933,"Fire, suspected sabotage",Imperial Airways,12,3,15,0
1933 United Airlines Boeing 247 mid-air explosion,10&#160;October&#160;1933,deliberate on-board explosion,United Air Lines,4,3,7,0
1934 Air France Wibault 282T crash,9 May 1934,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Air France,3,3,6,0
1934 Swissair Tuttlingen accident,27&#160;July&#160;1934,In-flight wing separation in severe weather conditions,Swissair,9,3,12,0
1934 Hillman's Airways de Havilland Dragon Rapide crash,2 October 1934,"<a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">CFIT</a> (pilot error)",Hillman's Airways,6,1,7,0
United Airlines Trip 4,"October 7, 1935","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",United Airlines,9,3,12,0
American Airlines Flight 1,"January&#160;14,&#160;1936",Undetermined,American Airlines,14,3,17,0
TWA Flight 1,"April 7, 1936",Pilot error,Trans World Airlines,11,3,12,2
Havørn Accident,16 June 1936,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Norwegian Air Lines,3,4,7,0
Chicago and Southern Flight 4,5&#160;August&#160;1936,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Chicago and Southern Air Lines,6,2,8,0
