operator,passengers,crew,fatalities,survivors
Caproni,12,2,14,0
Handley Page Transport,6,2,4,4
Daimler Hire Limited (page does not exist),3,2,5,0
Air Union,4,2,6,0
Air Union,11,2,1,12
Daimler Airway,3,2,5,0
Imperial Airways,7,1,8,0
Air Union,13,2,3,12
Air Union,5,2,7,0
KLM,9,2,1,10
Imperial Airways,5,1,4,2
Imperial Airways,11,2,7,6
Luft Hansa,4,4,7,1
Air Union,3,3,2,4
Australian National Airways (1930),6,2,8,0
Imperial Airways,12,3,15,0
United Air Lines,4,3,7,0
Air France,3,3,6,0
Swissair,9,3,12,0
Hillman's Airways,6,1,7,0
United Airlines,9,3,12,0
American Airlines,14,3,17,0
Trans World Airlines,11,3,12,2
Norwegian Air Lines,3,4,7,0
Chicago and Southern Air Lines,6,2,8,0
KLM Royal Dutch Airlines,13,4,15,2
Western Air Express,10,3,5,8
Airlines of Australia (airline) (page does not exist),5,2,5,3
Aircraft registration,36,61,36,62
Aircraft registration,7,4,12,0
Northwest Airlines,8,2,10,0
Trans World Airlines,6,3,9,0
Pan American World Airways,6,9,15,0
Australian National Airways,14,4,18,0
Jersey Airways,12,1,14,0
Imperial Airways,8,5,3,10
Finnair,7,2,9,0
Capital Airlines,21,4,25,0
Eastern Air Lines,13,3,8,8
Trans World Airlines,19,3,22,0
US Army Air Forces,9,3,12,0
Pan American World Airways,10,9,19,0
American Airlines,18,4,20,2
American Airlines,8,3,11,0
American Airlines,21,3,24,0
Trans World Airlines,1,6,7,0
National Airlines (NA),12,3,2,13
Pennsylvania Central Airlines,15,4,3,16
British European Airways,10,5,3,12
American Overseas Airlines,31,8,39,0
KLM,21,5,26,0
Trans World Airlines,14,9,9,14
British Overseas Airways Corporation,11,5,8,8
Aircraft registration,18,5,12,11
KLM,16,6,22,0
Eastern Air Lines,49,4,53,0
Pennsylvania Central Airlines,47,3,50,0
Pan American World Airways,26,10,15,21
Det Norske Luftfartsselskap,28,7,35,0
Pan American World Airways,13,5,18,0
Air India,19,4,23,0
British South American Airways,25,6,31,0
Pan American World Airways,21,10,30,1
British European Airways,16,4,0,20
United Airlines,39,4,43,0
No. 99 Squadron RAF,25,7,32,0
Macau Air Transport Company,23,3,25,1
Air France,40,12,52,0
Northwest Airlines,33,4,37,0
Australian National Airways,10,3,13,0
Det Norske Luftfartselskap,38,5,19,26
KLM,30,10,40,0
British South American Airways,13,7,20,0
Royal Air Force,6,4,10,0
Aircraft registration,75,6,53,28
Standard Air Lines,44,4,35,13
British European Airways,29,3,24,8
Air France,37,11,48,0
Aircraft registration,51,4,55,0
Aircraft registration,31,4,34,1
American Airlines,41,5,28,18
Soviet Air Force,13,6,19,0
Northwest Orient Airlines,10,3,15,0
