title,year,summary,operator,passengers,crew,fatalities,survivors
1919 Verona Caproni Ca.48 crash,1919,,Caproni,12,2,14,0
1920 Golders Green Handley Page O/400 crash,1920,,Handley Page Transport,6,2,4,4
1922 Picardie mid-air collision,1922,,Daimler Hire Limited (page does not exist),3,2,5,0
May 1923 Air Union Farman Goliath crash,1923,,Air Union,4,2,6,0
August 1923 Air Union Farman Goliath crash,1923,,Air Union,11,2,1,12
1923 Daimler Airway de Havilland DH.34 crash,1923,,Daimler Airway,3,2,5,0
1924 Imperial Airways de Havilland DH.34 crash,1924,,Imperial Airways,7,1,8,0
August 1926 Air Union Blériot 155 crash,1926,,Air Union,13,2,3,12
October 1926 Air Union Blériot 155 crash,1926,,Air Union,5,2,7,0
1928 Imperial Airways Vickers Vulcan crash,1928,,Imperial Airways,5,1,4,2
1929 Imperial Airways Handley Page W.10 crash,1929,,Imperial Airways,11,2,7,6
1929 Luft Hansa Junkers G 24 crash,1929,,Luft Hansa,4,4,7,1
1930 Air Union Farman Goliath crash,1930,,Air Union,3,3,2,4
1931 Avro Ten <i>Southern Cloud</i> disappearance,1931,,Australian National Airways (1930),6,2,8,0
1933 United Airlines Boeing 247 mid-air explosion,1933,,United Air Lines,4,3,7,0
1934 Swissair Tuttlingen accident,1934,,Swissair,9,3,12,0
American Airlines Flight 1,1936,,American Airlines,14,3,17,0
TWA Flight 1,1936,,Trans World Airlines,11,3,12,2
Havørn Accident,1936,,Norwegian Air Lines,3,4,7,0
Chicago and Southern Flight 4,1936,,Chicago and Southern Air Lines,6,2,8,0
1936 KLM Croydon accident,1936,,KLM Royal Dutch Airlines,13,4,15,2
Stinson Model A <i>City of Brisbane</i> crash,1937,,Airlines of Australia (airline) (page does not exist),5,2,5,3
LZ 129 <i>Hindenburg</i>,1937,,Aircraft registration,36,61,36,62
Sabena OO-AUB,1937,,Aircraft registration,7,4,12,0
1938 Kyeema crash,1938,,Australian National Airways,14,4,18,0
Lovettsville air disaster,1940,,Capital Airlines,21,4,25,0
TWA Flight 3,1942,,Trans World Airlines,19,3,22,0
"Pan Am Flight 1104 <sup id=""cite_ref-ASN_1-0"" class=""reference""><a href=""#cite_note-ASN-1"">[1]</a></sup>",1943,,Pan American World Airways,10,9,19,0
Pennsylvania Central Airlines Flight 105,1946,,Pennsylvania Central Airlines,15,4,3,16
British European Airways Flight 530,1946,,British European Airways,10,5,3,12
AOA Douglas DC-4 <i>Flagship New England</i>,1946,,American Overseas Airlines,31,8,39,0
1946 KLM Douglas DC-3 Amsterdam accident,1946,,KLM,21,5,26,0
TWA Flight 6963,1946,,Trans World Airlines,14,9,9,14
1947 Croydon Dakota accident,1947,,Aircraft registration,18,5,12,11
1947 KLM Douglas DC-3 Copenhagen accident,1947,,KLM,16,6,22,0
Eastern Air Lines Flight 605,1947,,Eastern Air Lines,49,4,53,0
Pennsylvania Central Airlines Flight 410,1947,,Pennsylvania Central Airlines,47,3,50,0
Pan Am Flight 121,1947,,Pan American World Airways,26,10,15,21
Pan Am Flight 923,1947,,Pan American World Airways,13,5,18,0
Pan Am Flight 1-10,1948,,Pan American World Airways,21,10,30,1
British European Airways Flight S200P,1948,,British European Airways,16,4,0,20
1948 Northwood mid-air collision,1948,,No. 99 Squadron RAF,25,7,32,0
1948 Australian National Airways DC-3 crash,1948,,Australian National Airways,10,3,13,0
1948 KLM Constellation air disaster,1948,,KLM,30,10,40,0
1949 Exhall mid-air collision,1949,,Royal Air Force,6,4,10,0
Standard Air Lines Flight 897R,1949,,Standard Air Lines,44,4,35,13
Eastern Air Lines Flight 537,1949,,Aircraft registration,51,4,55,0
American Airlines Flight 157,1949,,American Airlines,41,5,28,18
Northwest Orient Airlines Flight 307,1950,,Northwest Orient Airlines,10,3,15,0
Llandow Air Disaster,1950,,Airflight,78,5,80,3
TWA Flight 903,1950,,TWA,48,7,55,0
Tete de I'Obiou accident,1950,,Curtiss-Reid Flying Service (page does not exist),51,7,58,0
Tuszyn air disaster,1951,,LOT Polish Airlines,15,3,18,0
American Airlines Flight 6780,1952,,American Airlines,20,3,30,0
National Airlines Flight 101,1952,,National Airlines (1934–1980),59,4,33,34
Air France Flight 152,1953,,Air France,34,8,4,38
Air France Flight 178,1953,,Air France,33,9,42,0
American Airlines Flight 723,1953,,American Airlines,25,3,28,0
BCPA Flight 304,1953,,British Commonwealth Pacific Airlines,11,8,19,0
BOAC Flight 781,1954,,British Overseas Airways Corporation,29,6,35,0
1954 Prestwick air disaster,1954,,British Overseas Airways Corporation,25,11,28,8
Pan Am Flight 845/26,1955,,Pan American World Airways,15,8,4,19
El Al Flight 402,1955,,El Al,51,7,58,0
United Airlines Flight 629,1955,,United Airlines,39,5,44,0
Linea Aeropostal Venezolana Flight 253,1956,,Linea Aeropostal Venezolana,64,10,74,0
1956 Kano Airport BOAC Argonaut crash,1956,,British Overseas Airways Corporation,38,7,32,13
Braathens SAFE Flight 253,1956,,Braathens,10,2,2,10
Linea Aeropostal Venezolana Flight 253,1956,,Aeropostal Alas de Venezuela,18,7,25,0
1957 Blackbushe Viking accident,1957,,Eagle Aviation Limited,30,5,34,1
KLM Flight 844,1957,,KLM,59,9,58,10
Pan Am Flight 7,1957,,Pan American World Airways,36,8,44,0
1957 Aquila Airways Solent crash,1957,,Aquila Airways,50,8,45,13
Munich air disaster,1958,,British European Airways,38,6,23,21
Winter Hill air disaster,1958,,Silver City Airways,39,3,35,7
Capital Airlines Flight 67,1958,,Capital Airlines,44,3,47,0
Northeast Airlines Flight 258,1958,,Northeast Airlines,31,3,25,9
1958 London Vickers Viking accident,1958,,Independent Air Travel (page does not exist),0,3,7,0
1959 Turkish Airlines Gatwick crash,1959,,Turkish Airlines,16,8,14,10
G-AGRH <i>Zephyr</i>,1959,,Air Charter Limited,0,12,12,0
National Airlines Flight 967,1959,,National Airlines (1934–1980),36,6,42,0
Avianca Flight 671,1960,,Avianca,39,7,37,9
Northwest Orient Airlines Flight 710,1960,,Northwest Orient Airlines,57,6,63,0
Cal Poly football team C-46 crash,1960,,Aircraft registration,45,3,22,26
"1960 New York mid-air collision<br />
<span style=""font-weight:normal;""><small>United Airlines Flight 826&#160;<b>·</b> Trans World Airlines Flight 266</small></span>",1960,,Trans World Airlines,77,7,84,0
"<a href=""/wiki/Sabena"" title=""Sabena"">Sabena</a> Flight SN548",1961,,Sabena,61,11,73,0
LAN Chile Flight 621,1961,,LAN Airlines,20,4,24,0
Holtaheia Accident,1961,,British Eagle,36,3,39,0
TWA Flight 529,1961,,Trans World Airlines,73,5,78,0
1961 President Airlines Douglas DC-6 crash,1961,,Aircraft registration,77,6,83,0
1961 Ndola United Nations DC-6 crash,1961,,Transair Sweden,11,5,16,0
Imperial Airlines Flight 201/8,1961,,Imperial Airlines,74,5,77,2
Aerolíneas Argentinas Flight 322,1961,,Aerolíneas Argentinas,40,12,52,0
Ansett-ANA Flight 325,1961,,Ansett-ANA,11,4,15,0
Flying Tiger Line Flight 739,1962,,Flying Tiger Line,96,11,107,0
1962 Channel Airways Dakota accident,1962,,East Anglian Flying Services,15,3,12,5
Continental Airlines Flight 11,1962,,Continental Airlines,37,8,45,0
Aeroflot Flight 3,1962,,Aeroflot,79,7,86,0
