title,year,summary,operator,passengers,crew,fatalities,survivors
1919 Verona Caproni Ca.48 crash,1919,Possible structural failure,Caproni,12,2,14,0
1920 Golders Green Handley Page O/400 crash,1920,,Handley Page Transport,6,2,4,4
May 1923 Air Union Farman Goliath crash,1923,Structural failure,Air Union,4,2,6,0
August 1923 Air Union Farman Goliath crash,1923,"Engine failure, passenger error, loss of control",Air Union,11,2,1,12
1923 Daimler Airway de Havilland DH.34 crash,1923,"Pilot error, stall",Daimler Airway,3,2,5,0
1933 United Airlines Boeing 247 mid-air explosion,1933,deliberate on-board explosion,United Air Lines,4,3,7,0
1934 Swissair Tuttlingen accident,1934,In-flight wing separation in severe weather conditions,Swissair,9,3,12,0
American Airlines Flight 1,1936,Undetermined,American Airlines,14,3,17,0
Chicago and Southern Flight 4,1936,,Chicago and Southern Air Lines,6,2,8,0
1938 Kyeema crash,1938,"Poor visibility, pilot error",Australian National Airways,14,4,18,0
British European Airways Flight 530,1946,,British European Airways,10,5,3,12
AOA Douglas DC-4 <i>Flagship New England</i>,1946,,American Overseas Airlines,31,8,39,0
1946 KLM Douglas DC-3 Amsterdam accident,1946,"Poor weather, ",KLM,21,5,26,0
TWA Flight 6963,1946,,Trans World Airlines,14,9,9,14
Eastern Air Lines Flight 605,1947,Loss of control for reasons unknown,Eastern Air Lines,49,4,53,0
Pan Am Flight 121,1947,,Pan American World Airways,26,10,15,21
Pan Am Flight 923,1947,,Pan American World Airways,13,5,18,0
Standard Air Lines Flight 897R,1949,,Standard Air Lines,44,4,35,13
TWA Flight 903,1950,Forced landing due to catastrophic engine failure and fire,TWA,48,7,55,0
National Airlines Flight 101,1952,"Propeller failure, ",National Airlines (1934–1980),59,4,33,34
Air France Flight 152,1953,"Following engine rupture caused probably by propeller blade break inflight, the airliner made an emergency water landing and sank over an hour.",Air France,34,8,4,38
BOAC Flight 781,1954,In-flight metal fatigue failure leading to explosive decompression and mid-air break-up.,British Overseas Airways Corporation,29,6,35,0
Pan Am Flight 845/26,1955,"Engine separation, water ditching",Pan American World Airways,15,8,4,19
El Al Flight 402,1955,Shot down,El Al,51,7,58,0
Linea Aeropostal Venezolana Flight 253,1956,Loss of control after fire,Linea Aeropostal Venezolana,64,10,74,0
Linea Aeropostal Venezolana Flight 253,1956,,Aeropostal Alas de Venezuela,18,7,25,0
KLM Flight 844,1957,Pilot error or possible technical failure (undetermined),KLM,59,9,58,10
Pan Am Flight 7,1957,"Crash, wreckage disappearance",Pan American World Airways,36,8,44,0
Northeast Airlines Flight 258,1958,,Northeast Airlines,31,3,25,9
1961 President Airlines Douglas DC-6 crash,1961,"Possible pilot error due to instrument failure and bad weather, causing a loss of control",Aircraft registration,77,6,83,0
1961 Ndola United Nations DC-6 crash,1961,,Transair Sweden,11,5,16,0
Aeroflot Flight 3,1962,Loss of control for unknown reasons,Aeroflot,79,7,86,0
Civil Air Transport Flight 106,1964,Engine failure and loss of control,Civil Air Transport,52,5,57,0
Aeroflot Flight 65,1966,Crew and ATC errors,Aircraft registration,47,19,21,45
Lake Central Flight 527,1967,Loss of control and aircraft break-up after catastrophic propeller failure,Lake Central Airlines,35,3,38,0
Varig Flight 837,1967,,Varig,71,19,56,39
South African Airways Flight 406,1967,,South African Airways,20,5,25,0
ČSA Flight 523,1965,"Failure to climb for undetermined reason, striking obstructions and impacting the ground.",CSA Ceskoslovenské Aerolinie,61,8,37,32
Japan Airlines Flight 2,1968,Pilot error,Japan Airlines,96,11,0,107
Scandinavian Airlines System Flight 933,1969,,Scandinavian Airlines System,36,9,15,30
Prinair Flight 277,1969,Controller error / ,Prinair,17,2,19,0
Viasa Flight 742,1969,"Faulty runway temperature sensors, overweight",Viasa,74,10,155,0
Dominicana Flight 603,1970,Engine failure followed by loss of control,Dominicana de Aviación,97,5,102,0
Swissair Flight 330,1970,Terrorist bombing,Swissair,38,9,47,0
Aviogenex Flight 130,1971,Suffered hard landing due to ,Aviogenex,76,7,78,5
BEA Flight 706,1971,"Explosive decompression, leading to structural failure and loss of control",British European Airways,55,8,63,0
Pan Am Flight 841,1972,,Pan American World Airways,136,17,1,152
Aeroflot Flight 217,1972,"Undetermined (possible crew incapacitation, lightning strike, or mechanical failure)",Aeroflot,164,10,174,0
"1972 Chicago–O'Hare<br />
runway collision",1972,,Delta Air Lines,41,4,10,35
Eastern Air Lines Flight 401,1972,Pilot error; loss of situational awareness leading to ,Eastern Air Lines,163,13,101,75
Japan Air Lines Flight 404,1973,,Japan Air Lines,118,22,1,106
Texas International Airlines Flight 655,1973,,Texas International Airlines,8,3,11,0
